"اليوم","نوع المحتوى","المحور","السكريبت للتعليق الصوتي (AI Voiceover)","النص على الشاشة (On-Screen Text)","موجه الذكاء الاصطناعي (AI Prompt للصورة/الخلفية)","الكابشن المكتوب (للنشر)","الـ CTA"
"اليوم 25","Post","توعية","-","-","EduNor brand style: modern educational flat design, navy blue (#1E3A5F) primary background, golden yellow (#F4A825) accents, clean minimal layout. A stylized flat design compass pointing upwards 📈. --ar 4:5","تقييمك الأسبوعي هو بوصلتك للنجاح. ماتسيبش أسبوع يعدي من غير ما تحل امتحان شامل على اللي ذاكرته. لو درجتك قلت، ماتزعلش، دي فرصة تلحق نفسك بدري وتصحح مسارك.","عملت إيه في اختباراتك الأسبوع ده؟"
"اليوم 26","Reel","تحدي الأوائل","السؤال ده محتاج تركيز عالي وربط معلومات. وقف الفيديو وحاول تحله. أول 3 إجابات صحيحة ليهم مفاجأة من إديو نور. انطلقوا!","سؤال الأوائل.. مين هيحله الأول؟ - تحدي إديو نور للعباقرة","A vertical animated text video showing a challenging physics or math equation dropping onto the screen, with a rapid timer bar at the bottom. --ar 9:16","التحديات بتخلي المذاكرة ممتعة ومفيدة! شاركنا إجابتك واستعد لتحديات أكتر على #EduNor.","منتظرين عباقرة الدفعة في التعليقات!"
"اليوم 26","Post","أولياء الأمور","-","-","EduNor brand style: modern educational flat design, white (#FFFFFF) background, navy blue (#1E3A5F) accents, golden yellow (#F4A825) highlights, clean minimal layout. A stylized family icon or a supportive handshake graphic. --ar 1:1","التقييم مش عقاب، التقييم توجيه. بلاش نحسس ولادنا إن درجة الامتحان هي نهاية العالم. الدرجة القليلة هي فرصة عشان نعرف المشكلة. تقارير EduNor هدفها التوجيه مش الإحباط.","اعملوا منشن لجروبات أولياء الأمور ليستفيدوا."
"اليوم 27","Reel","تريكات الخرائط","كتير بيحفظ الخريطة وينساها! الصح إنك تفهم العلاقات المكانية. جرب تحل أسئلة الخرائط التفاعلية على إديو نور هتلاقي نفسك حفظتها من كتر التطبيق العملي.","سر الخرائط في الجغرافيا والتاريخ - افهم العلاقات المكانية","A vertical flat design animation of a map where different regions light up as lines connect them, showing spatial relationships. Navy and Teal colors. --ar 9:16","الخرائط محتاجة فهم مش حفظ. اتدرب على الخرائط التفاعلية في #EduNor.","اعمل شير لصاحبك اللي بيتعقد من الخرائط."
"اليوم 27","Post","تحفيز","-","-","EduNor brand style: modern educational flat design, navy blue (#1E3A5F) primary background, golden yellow (#F4A825) accents, clean minimal layout. A bold glowing star ✨ icon. --ar 4:5","أنت أقوى مما تتخيل، ونتيجتك هتثبت ده. ✨ كل ليلة سهر، كل سؤال صعب حاولت تفهمه، كل لحظة إحباط تغلبت عليها.. كلها بتتبني عشان توصلك ليوم النتيجة. 🚀","كمل طريقك، إحنا معاك وفي ضهرك."
"اليوم 28","Reel","العد التنازلي","فاضل وقت قليل على الامتحانات. ده وقت الحل مش وقت المذاكرة من الصفر. ادخل تحدي الـ 100 سؤال على إديو نور وشوف هتقدر تخلصهم في قد إيه.","العد التنازلي بدأ.. مستعد؟ - وقت الحل والتدريب المستمر","A dynamic vertical animation of a large calendar page flipping rapidly, ending on an 'Exam Day' mark, with a golden glowing 'Start Now' button. --ar 9:16","وقت المراجعة والحل هو أهم فترة في السنة. استغل كل دقيقة مع اختبارات #EduNor.","اقبل التحدي وشاركنا نتيجتك في الاستوري!"
"اليوم 28","Post","نصيحة","-","-","EduNor brand style: modern educational flat design, light gray (#F5F5F5) background, navy blue (#1E3A5F) accents, golden yellow (#F4A825) highlights, clean minimal layout. An open book transforming into an upward growth chart 📈. --ar 1:1","بنوك الأسئلة مش مجرد تقييم، دي أداة للتعلم. ساعات كتير بتفهم الدرس بشكل أعمق لما تقرأ الشرح الخاص بإجابة السؤال اللي حليته غلط. EduNor بتوفرلك شروحات وافية.","ابدأ التعلم من أخطائك اليوم."
"اليوم 29","Reel","الاستمرارية","لو كنت التزمت معانا بحل اختبارين كل أسبوع طول الشهر اللي فات، فإنت دلوقتي حليت مئات الأسئلة وعرفت مستواك الحقيقي. جاهزين نكمل الشهر الجاي بقوة أكبر؟","شهر من التدريب = ثقة مالهاش حدود! - استمرارية التقييم - إديو نور","A fast vertical infographic animation showing a bar chart growing significantly from week 1 to week 4. Golden yellow bars on Navy blue. --ar 9:16","الاستمرارية هي سر النجاح. اللي بيحل كل يوم سؤال، بيكسب درجات أكتر في النهاية. #EduNor","فخورين بكل طالب التزم معانا!"
"اليوم 29","Post","تفاعل","-","-","EduNor brand style: modern educational flat design, white (#FFFFFF) background, navy blue (#1E3A5F) accents, golden yellow (#F4A825) highlights, clean minimal layout. Five stylized golden stars ⭐⭐⭐⭐⭐. --ar 4:5","تقييمك لتجربتك مع أسئلة EduNor لحد دلوقتي؟ رأيكم هو اللي بيطورنا. شاركونا في التعليقات إيه أكتر ميزة فادتكم في المنصة، وإيه اللي حابين نضيفه الشهر الجاي؟","رأيك يهمنا جداً.. اكتبلنا تقييمك."
"اليوم 30","Reel","كواليس (أتمتة)","أسئلة إديو نور مش عشوائية. إحنا بنحلل امتحانات السنين اللي فاتت، وبنستخرج منها نواتج التعلم، وبنكتب أسئلة جديدة موازية ليها عشان نضمن إنك جاهز.","بنجيب الأفكار الصعبة دي منين؟ - جودة المحتوى في إديو نور","A cool vector animation of an exam paper entering a machine (representing EduNor AI/Experts) and coming out as high-quality, targeted questions. --ar 9:16","الجودة والدقة هما أساس محتوانا. اتدرب وأنت مطمن إن كل سؤال ليه هدف. #EduNor","سجل مجاناً وابدأ التدريب."
"اليوم 30","Post","خلاصة الشهر","-","-","EduNor brand style: modern educational flat design, navy blue (#1E3A5F) primary background, golden yellow (#F4A825) accents, clean minimal layout. A large golden cup or trophy icon 🏆. --ar 1:1","خلاصة الشهر: التدريب المستمر كسر حاجز الخوف عند آلاف الطلاب معانا. الاستعداد المبكر للامتحانات الشاملة هو اللي بيضمن التقفيل. افهم مش تحفظ 💡","مستعد تكمل معانا التحدي الشهر الجاي؟"
